Country Name,Country Code,Series,Series Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belarus,BLR,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,84.18,,,,,,,90.03,,,,,,,,,,,
Belgium,BEL,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,85.19,,,,,,85.18,,81.8,86.18,,,,,,,,,
Belize,BLZ,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,13.19,,,,,20.84,,,,,49.44,,,,,,,
Benin,BEN,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,4.05,,,,,9.17,,,,,14.7,,,10.25,,,,8.39,,,,,
Bermuda,BMU,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,20.98,,,,,,,,,,,,,
Bolivia,BOL,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,44.66,52.43,47.42,50.56,52.38,59.49,55.8,64.23,60.08,64.42,,66.5,68.24,76.76,67.29,70.41,73.72,74.46,76.19,,,,,
Bosnia and Herzegovina,BIH,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,51.97,,,,,,55.33,,,,,,93.06,,,,,,,,,,,
Botswana,BWA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,44.38,47.47,50.88,52.91,54.69,57.8,58.53,61.45,64,,65.52,65.22,66.99,67.74,69.71,65.13,65.36,67.32,,,,,
British Virgin Islands,VGB,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,84.18,,83.32,80.06,,,,,,,,,
Burkina Faso,BFA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,4.8,,,2.68,,,,3.86,,,,,,,,,,,,,
Burundi,BDI,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,2.93,,,,,2.11,,,,,5.06,,,,,,,8.23,,,,,,
Cabo Verde,CPV,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,4.36,,,,,10.39,,,13.07,,16.98,,,,21.23,,,,,,,,,
Cameroon,CMR,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,6.77,,,,7.62,28.46,10.91,,,,,15.5,,,16.01,,,,,,,,,
Canada,CAN,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,85.7,,,,,,,,,,,,,
Caribbean small states,CSS,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,4.12,,,,,,3.21,,,,6.94,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,TCD,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,5.4,,,,3.97,,,,,,5.67,,,,9.81,,,,,,,,,
Channel Islands,CHI,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,65.13,,66.63,73.47,,,79.48,,,80.29,,80.71,,82.38,,84.47,,85.75,,,,,,
China,CHN,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,43.97,,54.77,,60.87,,,,,,,,,
Colombia,COL,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,50.06,,53.43,54.17,56.5,57.08,,,61.32,61.05,65.16,64.86,65.61,67.14,68.1,72.66,70.06,71.6,71.95,,,,,
Comoros,COM,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,5.32,,,,,,,,,,,,29.82,,,,,,,,,,,
"Congo, Dem. Rep.",COD,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,10.73,,,,,,14.05,,,13.88,,,25.52,,,,,,,,,,
"Congo, Rep.",COG,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,7.71,,,,,,,15.15,,,23.32,,,,,,,,
Cook Islands,COK,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,36.24,37.53,36.09,38.87,38.84,37.89,40.65,39.43,41.15,42.94,47.72,46.41,51.56,53.13,54.72,52.59,55.46,57.35,58.38,,,,,
Cote d'Ivoire,CIV,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,3.76,,,,,,8.38,,,,,,13.69,,,,15.67,,,,,,,
Croatia,HRV,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,95.04,,96.37,94.69,,,,,,,,,
Cuba,CUB,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,69.89,,,,78.67,,,,86.05,,,,,,,,,
Curacao,CUW,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,89.77,,,,,,92.73,,92.76,92.78,,,,,,,,,
Czechia,CZE,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,89.71,,,,,,92.25,,92.68,94.42,,,,,,,,,
Denmark,DNK,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,71.92,,,,,,69.42,,77.46,82.1,,,,,,,,,
Djibouti,DJI,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,20.72,,,,,,,,,,,,,,,,,
Dominica,DMA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,39.15,38.14,39.02,43.94,43,46.92,49.27,46.58,52.49,53.27,56.6,58.55,56.21,54.75,57.43,60.5,63.51,62.15,62.76,,,,,
Early-demographic dividend,EAR,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,46.08,42.85,,48.11,,49.63,51.27,51.7,55.24,58.18,57.76,64.76,66.47,65.46,64.47,67.11,68.52,69.66,72.3,,,,,
"Egypt, Arab Rep.",EGY,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,57.81,,,,,28.93,,,,31.75,,,,,41.89,,,,,,,,,
El Salvador,SLV,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,39.23,42.39,42.87,38.72,41.72,43.35,44.93,31.3,,47.11,49.2,,51.97,53.01,54.36,55.51,56.49,57.25,59.24,,,,,
Equatorial Guinea,GNQ,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,5.43,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,84.87,,,,,,83.1,,81.54,82.74,,,,,,,,,
Eswatini,SWZ,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,25.32,,,,28.12,,,,32.3,,,,,,,,,
Ethiopia,ETH,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,4.87,,,,,8.62,,7.1,,,,12.15,,,,,13.09,,,,,,,
Euro area,EMU,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,34.28,,,,,,,,,,,,,,,,
Finland,FIN,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,83.81,,,,,,88.47,,87.57,89.04,,,,,,,,,
Fragile and conflict affected situations,FCS,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,PYF,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,6.85,,,,,,,,,,,,13.83,,,,,,,,,,,
"Gambia, The",GMB,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,17.96,,,,,,21.54,,,,22.35,,,30.19,,,,,26.38,,,,,
Georgia,GEO,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,78.61,,,,,,,,96.01,,,,,,,,,,
Germany,DEU,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,89.08,,,,,,84.15,,82.67,80.07,,,,,,,,,
Ghana,GHA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,4.51,,,6.58,,,27.64,12.99,12.59,,,35.81,,,,35.74,,,,,
Gibraltar,GIB,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Global Partnership for Education,FTI,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,85.7,,,,,,94.74,,92.27,93.05,,,,,,,,,
Greenland,GRL,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,GUM,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,19.71,,,,,,24.82,,,,,24.51,,,33.96,34.51,,,,,,,,
Guinea,GIN,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,4.56,,,,,,,15.28,,,,20.17,,16.4,,,,,
Guinea-Bissau,GNB,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,5.31,,,,,,8.2,,,,,,,,6.59,,,,,,,,,
Guyana,GUY,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,42.54,,,,,,49.47,,,55.49,,,,,56.15,,,,,,,,,
Haiti,HTI,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,5.33,,,8.46,,12.3,,,,,,,11.73,,,,,16.57,,,,,,
Heavily indebted poor countries (HIPC),HPC,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
High income,HIC,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,21.92,,,21.89,24.29,24.87,,,33,34.75,39.84,37.76,41.58,37.05,42.61,43.28,,37.8,,,,,
"Hong Kong SAR, China",HKG,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,82.13,,,,,,86.47,,87.11,85.69,,,,,,,,,
IBRD only,IBD,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,62.74,,,,,,64.03,,65.06,70.22,,,,,,,,,
IDA & IBRD total,IBT,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
IDA blend,IDB,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
IDA only,IDX,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
IDA total,IDA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,22.43,24.36,,,,,34.98,,,,,42.89,,,,,,,
Indonesia,IDN,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,39.81,,,39.06,,,,,44.02,,,,50.65,,,,,63.19,,,,,,
"Iran, Islamic Rep.",IRN,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,IRQ,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,17.7,,,,,,19.03,,,,,18.65,,,,,,,32.13,,,,,
Ireland,IRL,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,83.56,,,,,,91.69,,92.17,94.36,,,,,,,,,
Isle of Man,IMN,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,88.09,,,,,,,,,,,
Italy,ITA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,70.7,,,,,,81.07,,85.01,83.27,,,,,,,,,
Jamaica,JAM,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,86.78,,,,78.12,,,,,,81.98,,,,,,,,,,,,
Japan,JPN,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,JOR,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,54.7,,,,,57.29,,,,,58.91,,,,,,56.85,,,,,
Kazakhstan,KAZ,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,91.62,,,,,91.17,,,,93.79,,,,,,,,
Kenya,KEN,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,24.66,,,24.7,,,,,31.07,26.53,,,,,42.32,,,,,,,,,
Kiribati,KIR,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,16.73,,,,
"Korea, Dem. People's Rep.",PRK,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,XKX,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,KGZ,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,79.42,,,,,,85.29,,80.58,,,,,,,,,
Lao PDR,LAO,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,11.89,,,,,,19.33,,,,,,24.57,,,,,31.1,,,,,,
Late-demographic dividend,LTE,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCN,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (excluding high income),LAC,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,LVA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,78.14,,,,,,77.83,,85.58,83.78,,,,,,,,,
Least developed countries: UN classification,LDC,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,LBN,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Lending category not classified,LNX,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,LSO,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,13.9,,,,18.47,,,,,10.81,,,,31.87,,,,,
Liberia,LBR,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,6.79,6.45,,,,,12.99,,,,,,,,,,
Libya,LBY,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,83.45,,,,,,85.05,,91.74,89.04,,,,,,,,,
Low & middle income,LMY,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,LIC,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,LMC,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,LUX,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,73.8,,,,,,76.96,,74.09,69.16,,,,,,,,,
"Macao SAR, China",MAC,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,MDG,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,11.8,,,,,5.52,,,,,,,,,15.3,,,,,
Malawi,MWI,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,9.25,,,,13.24,,20.32,,13.68,,15.41,,,,10.54,,14.13,,,,,,,
Malaysia,MYS,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,MDV,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,13.21,,,,,,,,,39.65,,,,,,
Mali,MLI,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,4.3,,,,,4.08,,,8.57,9.18,,,10.74,,16.47,,,12.17,,,,,
Malta,MLT,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,69.04,,70.09,75.12,,,,,,,,,
Marshall Islands,MHL,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,MRT,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,8.12,,,,14.19,,,,24.16,,,,,,,,
Mauritius,MUS,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,MYT,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,32.63,,38.72,,40.85,,43.66,,45.34,,48.29,,50.9,,52.31,,52.8,,58.73,,,,,
"Micronesia, Fed. Sts.",FSM,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MEA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa (excluding high income),MNA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,MIC,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,37.95,,,,,56.89,,,,,,,64.6,,,,,,,,,,,
Monaco,MCO,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,MNG,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,52.14,,,,,,62.14,,,,62.62,,,,63.08,,,,77.29,,,,,
Montenegro,MNE,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,69.47,,,,,,,,84,,,,,86.25,,,,,
Montserrat,MSR,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,19.82,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,2.23,,,,,4.29,,,6.73,,,,,,,,,,,,
Myanmar,MMR,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,6.46,,,,,,,,,,,,,,,,16.53,,,,,,,
Namibia,NAM,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,23.11,,,,,,,23.4,,,,,,36.61,,,,,,,,,,
Nauru,NRU,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,NPL,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,5.37,,,,,,6.87,,,,,,,,,,,,,,,,
Netherlands,NLD,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,76.57,,,,,,75.78,,78.47,79.07,,,,,,,,,
Netherlands Antilles,ANT,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,NCL,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,NIC,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,25.82,,,,28.92,,,,32.16,,,,,40.92,,,,,,,,,
Niger,NER,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,1.32,,,,,,0.95,,,,,,1.63,,,,,,,,,,,
Nigeria,NGA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,39.43,,,,35.82,48.06,,45.11,46.1,,49.72,,,59.29,,49.3,,,,,
Niue,NIU,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
