"Country.Name","Country.Code","year","cpi","trade_openness","agr_share","Region","IncomeGroup","edu","country","currency_unit","rgdpe","rgdpo","pop","emp","avh","hc","ccon","cda","cgdpe","cgdpo","cn","ck","ctfp","cwtfp","rgdpna","rconna","rdana","rnna","rkna","rtfpna","rwtfpna","labsh","irr","delta","xr","pl_con","pl_da","pl_gdpo","i_cig","i_xm","i_xr","i_outlier","i_irr","cor_exp","statcap","csh_c","csh_i","csh_g","csh_x","csh_m","csh_r","pl_c","pl_i","pl_g","pl_x","pl_m","pl_n","pl_k","gdp_log","k_log","employment_log","cpi_log","trade_openness_log","agr_share_log","edu_log","Y_L"
"Congo, Rep.","COG",1960,NA,106.06049210998,23.60046332,"Sub-Saharan Africa","Lower middle income",NA,"Congo","CFA Franc BEAC",1107.07922363281,2150.34008789062,1.04512283372863,0.358114331960678,NA,1.08025991916656,1741.70642089844,2214.46020507812,1050.1044921875,1149.99353027344,2317.44091796875,NA,NA,NA,2072.48022460938,2286.89282226562,3956.99682617188,6107.5478515625,NA,NA,NA,NA,NA,0.045974500477314,245.195098717111,0.0971140414476395,0.145047307014465,0.132448449730873,"Extrapolated","Extrapolated","Market-based","Regular",NA,NA,NA,1.08591222763062,0.411092549562454,0.428623646497726,0.160528540611267,-1.09258246421814,0.00642550829797983,0.114325851202011,0.321641743183136,0.0535081475973129,0.127031832933426,0.153857544064522,0.302636742591858,NA,7.63650134515904,NA,-1.0269029805483,NA,4.66400961161883,3.16126634404224,NA,6004.61890513429
"Comoros","COM",1960,NA,NA,NA,"Sub-Saharan Africa","Lower middle income",NA,"Comoros","Comoro Franc",316.361846923828,363.880218505859,0.178100701971282,NA,NA,NA,312.423645019531,407.777282714844,310.404266357422,330.556182861328,1761.87609863281,NA,NA,NA,338.617248535156,308.328338623047,348.569122314453,1453.85168457031,NA,NA,NA,NA,NA,0.0395364686846733,245.189859471165,0.0656324550509453,0.0563683770596981,0.0529319569468498,"Extrapolated","Extrapolated","Market-based","Regular",NA,NA,NA,0.695820927619934,0.288464277982712,0.249324411153793,0.0785503908991814,-0.323544174432755,0.0113841379061341,0.0703962817788124,0.0260148830711842,0.0523374453186989,0.113906927406788,0.0808379054069519,0.02626015804708,NA,5.82487040914335,NA,NA,NA,NA,NA,NA,NA
"Cabo Verde","CPV",1960,NA,NA,NA,"Sub-Saharan Africa","Lower middle income",NA,"Cabo Verde","Cabo Verde Escudo",217.699111938477,247.263198852539,0.196592368996891,NA,NA,NA,163.703323364258,354.346740722656,235.218078613281,242.83837890625,1021.5673828125,NA,NA,NA,303.875152587891,231.890045166016,365.743835449219,1030.94482421875,NA,NA,NA,NA,NA,0.0408225953578949,28.75000002875,0.157656580209732,0.133177801966667,0.128998667001724,"Extrapolated","Extrapolated","Market-based","Regular",NA,NA,NA,0.585912942886353,0.785062968730927,0.0882116407155991,0.158953949809074,-0.349233388900757,-0.268908143043518,0.158378124237061,0.112158164381981,0.152863934636116,0.169993624091148,0.165119081735611,0.135835647583008,NA,5.71661693477648,NA,NA,NA,NA,NA,NA,NA
"Djibouti","DJI",1960,NA,NA,NA,"Middle East & North Africa","Lower middle income",NA,"Djibouti","Djibouti Franc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria","DZA",1960,NA,106.186804301314,NA,"Middle East & North Africa","Lower middle income",NA,"Algeria","Algerian Dinar",67244.7109375,122725.6796875,11.3267674450945,1.9581116437912,NA,1.13728058338165,44672.6484375,80842.2109375,64907.4140625,119033.09375,350419.5625,NA,NA,NA,73350.9765625,43340.95703125,60130.94921875,262811.90625,NA,NA,NA,NA,NA,0.0411478877067566,4.93706000393706,0.0570446401834488,0.0451339744031429,0.0246110539883375,"Extrapolated","Extrapolated","Market-based","Regular",NA,NA,NA,0.199032753705978,0.303861409425735,0.176263272762299,0.533539831638336,-0.286969602108002,0.0742723047733307,0.0813979357481003,0.0304232407361269,0.029545409604907,0.0343092940747738,0.0912128612399101,0.0332444198429585,NA,11.203011097218,NA,0.671980561783699,NA,4.66519984780446,NA,NA,62675.5272492454
"Egypt, Arab Rep.","EGY",1960,0.332829047091752,41.691698525396,27.64882578,"Middle East & North Africa","Lower middle income",NA,"Egypt","Egyptian Pound",20486.91015625,21165.931640625,27.5981167611222,6.74466419219971,NA,1.11206042766571,18180.04296875,18776.74609375,18857.181640625,18414.103515625,6668.3779296875,0.00041446796967648,1.17132103443146,1.19535374641418,51796.25,49293.875,46072.60546875,20883.806640625,0.0133083797991276,1.40770995616913,1.28569722175598,0.392683476209641,0.420106828212738,0.0572283454239368,0.348242026214203,0.215805307030678,0.244688093662262,0.25057578086853,"Extrapolated","Extrapolated","Market-based","Outlier","Regular",NA,NA,0.661068856716156,0.032404687255621,0.32622018456459,0.0702480971813202,-0.149229258298874,0.0592873878777027,0.258711069822311,1.12467420101166,0.128858923912048,0.202973768115044,0.187936842441559,0.88249284029007,34.3406181335449,10.8550730318046,-4.31936138207417,1.90875170223795,-1.10012629291911,3.73030203285688,3.31958325979714,NA,3138.1742719087
"Eritrea","ERI",1960,NA,NA,NA,"Sub-Saharan Africa","Low income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethiopia","ETH",1960,NA,NA,NA,"Sub-Saharan Africa","Low income",NA,"Ethiopia","Ethiopian Birr",12042.2275390625,12501.166015625,23.3047016212616,9.22394943237305,NA,1.01587605476379,10999.3720703125,11746.6962890625,11642.1435546875,11652.9384765625,7147.31298828125,NA,NA,NA,15564.5966796875,13783.9873046875,12195.681640625,18042.189453125,NA,NA,NA,NA,NA,0.0359093472361565,2.48446989208516,0.101109854876995,0.105444222688675,0.10534655302763,"Extrapolated","Extrapolated","Market-based","Regular",NA,NA,NA,0.782048642635345,0.0641317889094353,0.161865428090096,0.0438074134290218,-0.0505394674837589,-0.0013138351496309,0.113406144082546,0.16923899948597,0.0417006462812424,0.127507075667381,0.126503393054008,0.17083477973938,NA,9.6527541705379,NA,2.22180330077188,NA,NA,NA,NA,1355.29429202528
"Micronesia, Fed. Sts.","FSM",1960,NA,NA,NA,"East Asia & Pacific","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghana","GHA",1960,NA,63.6363636363636,40.85155351,"Sub-Saharan Africa","Lower middle income",NA,"Ghana","Cedi",30489.4296875,31375.478515625,6.91596596941425,2.47216463088989,NA,1.09971857070923,16608.826171875,32608.59375,32099.240234375,32567.037109375,108352.03125,NA,NA,NA,19751.916015625,17614.2421875,23067.529296875,89295.4453125,NA,NA,NA,NA,NA,0.0604563727974892,7.14290960961733e-05,0.0994107946753502,0.0727497711777687,0.0717047899961472,"Extrapolated","Extrapolated","Market-based","Regular",NA,NA,NA,0.476337641477585,0.49128720164299,0.033651202917099,0.0508242882788181,-0.065216526389122,0.0131162190809846,0.0996953397989273,0.0450738668441772,0.0953829512000084,0.179950043559074,0.172105863690376,0.0438176728785038,NA,9.89100577907313,NA,0.905094135634308,NA,4.15318506224503,3.70994485020347,NA,12691.5004460407
"Guinea","GIN",1960,NA,NA,NA,"Sub-Saharan Africa","Lower middle income",NA,"Guinea","Guinea Franc",10932.6337890625,11786.7626953125,3.45071841449036,NA,NA,NA,10963.6103515625,11379.5908203125,10676.314453125,11154.0283203125,4848.798828125,NA,NA,NA,5406.5166015625,4876.2958984375,4682.9423828125,2130.083984375,NA,NA,NA,NA,NA,0.0400096513330936,104.312275354668,0.0476250573992729,0.0493614822626114,0.0472473911941051,"Extrapolated","Extrapolated","Estimated","Regular",NA,NA,NA,0.94487065076828,0.0372941941022873,0.0380576141178608,0.105937570333481,-0.0833466202020645,-0.0428134091198444,0.0463583394885063,0.0951267778873444,0.0790744051337242,0.0808800756931305,0.11587418615818,0.0759093090891838,NA,8.59536028304813,NA,NA,NA,NA,NA,NA,NA
"Gambia, The","GMB",1960,NA,NA,NA,"Sub-Saharan Africa","Low income",NA,"Gambia","Dalasi",954.540588378906,949.789733886719,0.337303415780396,NA,NA,1.05195593833923,924.819519042969,980.605834960938,922.730529785156,905.405578613281,916.397216796875,NA,NA,NA,884.640258789062,706.221008300781,671.231628417969,782.736267089844,NA,NA,NA,NA,NA,0.039701085537672,1.78571112296181,0.10171315819025,0.106167256832123,0.108198776841164,"Extrapolated","Extrapolated","Market-based","Regular",NA,NA,NA,0.802642285823822,0.0616146996617317,0.218800008296967,0.0861268416047096,-0.0697239562869072,-0.0994598940014839,0.104582503437996,0.180006816983223,0.0911872982978821,0.145738691091537,0.123013563454151,0.191031396389008,NA,6.7851810751256,NA,NA,NA,NA,NA,NA,NA
"Guinea-Bissau","GNB",1960,NA,NA,NA,"Sub-Saharan Africa","Low income",NA,"Guinea-Bissau","CFA Franc BCEAO",701.541198730469,600.187866210938,0.701143845155678,NA,NA,NA,511.311920166016,666.391174316406,608.744567871094,505.898590087891,452.273712158203,NA,NA,NA,1387.70935058594,499.958343505859,675.486694335938,417.093719482422,NA,NA,NA,NA,NA,0.0368346385657787,0.442307722552323,0.259466171264648,0.254493713378906,0.306230634450912,"Extrapolated","Extrapolated","Market-based","Outlier",NA,NA,NA,0.640990793704987,0.306542158126831,0.369709670543671,0.129440560936928,-0.462936460971832,0.0162533149123192,0.340977489948273,0.238098949193954,0.118144504725933,0.216228291392326,0.133852660655975,0.245098009705544,NA,7.23540971754403,NA,NA,NA,NA,NA,NA,NA
"Honduras","HND",1960,-1.74623815710751,44.4212721584984,33.81498585,"Latin America & Caribbean","Lower middle income",NA,"Honduras","Lempira",4270.8779296875,4307.38720703125,1.92052600489582,NA,NA,1.25600576400757,3876.75122070312,4328.701171875,4286.3984375,4234.4619140625,6493.837890625,NA,NA,NA,5937.81787109375,5014.15478515625,5919.37939453125,16538.26953125,NA,NA,NA,NA,NA,0.0425793193280697,2.000000001,0.0872203409671783,0.0899516642093658,0.0910549387335777,"Extrapolated","Extrapolated","Market-based","Regular",NA,NA,NA,0.800600290298462,0.106731384992599,0.114923618733883,0.128782719373703,-0.157554775476456,0.00651680305600166,0.0857708603143692,0.113380499184132,0.0973179638385773,0.0883450582623482,0.0816816315054893,0.0956933423876762,NA,8.6890969830941,NA,NA,NA,3.79371845737402,3.52090407257347,NA,NA
"Haiti","HTI",1960,-5.03004159593691,NA,NA,"Latin America & Caribbean","Lower middle income",NA,"Haiti","Gourde",5093.837890625,5631.7841796875,3.80708580153772,NA,NA,1.14414536952972,4906.07861328125,5516.8974609375,5511.03369140625,5822.23779296875,19197.359375,NA,NA,NA,9069.6494140625,4977.5380859375,5081.58251953125,17014.16796875,NA,NA,NA,NA,NA,0.0392696224153042,5.000000004,0.0555612333118916,0.0551554374396801,0.0522073321044445,"Extrapolated","Extrapolated","Market-based","Regular",NA,NA,NA,0.822862386703491,0.10491131991148,0.0197824444621801,0.0995947867631912,-0.0759039893746376,0.0287530366331339,0.0510338842868805,0.0518961362540722,0.243878960609436,0.078054778277874,0.122925274074078,0.053511705249548,NA,9.11268888900628,NA,NA,NA,NA,NA,NA,NA
"India","IND",1960,1.77987784677382,11.2968331123897,41.74133512,"South Asia","Lower middle income",NA,"India","Indian Rupee",512688.8125,521473.40625,446.439457714561,179.374603271484,NA,1.13393616676331,474786.15625,556984.75,518490.5625,522233.6875,1118031.125,0.0707259625196457,0.354031473398209,0.377894967794418,447577.28125,415713.125,439402.96875,1058696.125,0.0241784602403641,0.61373245716095,0.594877421855927,0.753750383853912,0.163644030690193,0.0332922451198101,4.7618999522471,0.0714494064450264,0.0710292309522629,0.0705201327800751,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.806456327438354,0.157398164272308,0.102688699960709,0.0211179740726948,-0.0430662222206593,-0.0445949397981167,0.0747243240475655,0.0686022415757179,0.0457301512360573,0.120178729295731,0.107478730380535,0.036650363355875,0.651281893253326,13.0116044973176,-3.72229311488165,5.18947637478452,0.576544736541197,2.42452243089864,3.73149188772111,NA,2907.17524520875
"Iran, Islamic Rep.","IRN",1960,9.82241081297867,31.2375416706824,25.90060153,"Middle East & North Africa","Lower middle income",NA,"Iran (Islamic Republic of)","Iranian Rial",59826.1015625,86282.328125,21.2934497913087,5.78416872024536,NA,1.06874358654022,56798.625,72930.7734375,58223.91015625,82184.109375,209445.84375,0.0154282208532095,0.875235080718994,0.777317404747009,248714.875,67023.6640625,98760.6875,276289.1875,0.0402161106467247,3.8128399848938,1.56429576873779,0.35036438703537,0.140377402305603,0.0541953891515732,75.75000007575,0.0763363391160965,0.0782251805067062,0.0554191805422306,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.645079612731934,0.196292772889137,0.0460347793996334,0.534721791744232,-0.103004723787308,-0.319124221801758,0.0733555406332016,0.0848755016922951,0.118105828762054,0.0176758226007223,0.0559630133211613,0.05086774751544,0.974083602428436,12.4240624390202,-3.21348760128461,1.75512465459792,2.28466659253943,3.44162063015562,3.25426619353232,NA,14916.9798285794
"Jordan","JOR",1960,NA,NA,NA,"Middle East & North Africa","Lower middle income",NA,"Jordan","Jordanian Dinar",2769.41137695312,2943.255859375,0.971795190802606,0.20240181684494,NA,1.20938658714294,3184.42211914062,3491.56567382812,2654.3271484375,2540.56909179688,2844.5390625,0.000167172940564342,1.31521379947662,1.80899178981781,7354.44873046875,7694.3798828125,7634.12109375,5942.0341796875,0.0187123510986567,2.63595533370972,2.45371055603027,0.487131118774414,0.232878997921944,0.0377998873591423,0.357143029159467,0.0890032276511192,0.0984920635819435,0.102902203798294,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.848230123519897,0.120895564556122,0.40519854426384,0.0149279134348035,-0.338423073291779,-0.0508290939033031,0.0928397849202156,0.196870982646942,0.0809718891978264,0.107086889445782,0.08517736941576,0.172506868839264,4.07371234893799,8.90306067855674,-3.97857148658767,-1.59750036510249,NA,NA,NA,NA,14541.6474281445
"Kenya","KEN",1960,1.24378109452731,64.7658510634232,35.34741353,"Sub-Saharan Africa","Lower middle income",NA,"Kenya","Kenyan Shilling",15367.306640625,14253.0751953125,8.19614338002268,3.57470798492432,NA,1.19694888591766,13322.6748046875,15114.91015625,14903.8330078125,13411.486328125,31666.734375,0.00225818320177495,0.39559480547905,0.446200340986252,21083.4609375,19768.685546875,22169.84765625,47090.7734375,0.0786469727754593,1.21515119075775,1.16669166088104,0.777350962162018,0.0798495560884476,0.0389569364488125,7.14286000614286,0.0837430357933044,0.0860899612307549,0.0956695303320885,"Extrapolated","Extrapolated","Market-based","Regular","Low capital share",NA,NA,0.90331494808197,0.133634388446808,0.0900630131363869,0.107202991843224,-0.253769189119339,0.019553842023015,0.0832127183675766,0.103535994887352,0.089062012732029,0.116948954761028,0.0621151812374592,0.0670929327607155,0.642549335956573,9.95624417027488,-2.54278614004112,1.27388349027112,0.218156009803128,4.17077847468833,3.56522522219754,NA,3987.19986511409
"Kyrgyz Republic","KGZ",1960,NA,NA,NA,"Europe & Central Asia","Lower middle income",NA,"Kyrgyzstan","Som",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cambodia","KHM",1960,NA,35.8744376339762,NA,"East Asia & Pacific","Lower middle income",NA,"Cambodia","Riel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58002499824894,NA,NA,NA
"Kiribati","KIR",1960,NA,NA,NA,"East Asia & Pacific","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lao PDR","LAO",1960,NA,NA,NA,"East Asia & Pacific","Lower middle income",NA,"Lao People's DR","Kip",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lebanon","LBN",1960,NA,NA,NA,"Middle East & North Africa","Lower middle income",NA,"Lebanon","Lebanese Pound",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
