Data Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country.Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,AUS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19352846,3.171281972,3.042967744,3.252660275,3.338112475,3.009603788,3.378836945,3.229410866,3.028816781,3.047569423,3.110428355,3.496880133,3.94502714,2.887407422,3.061605923,2.885864268,2.731033379,2.206014014,2.342092302,2.301098506,2.204340603,2.292318548,2.26771194,2.285285002,2.220360756,2.375282585,2.404251882,2.70396697,2.457105558,2.113082693,2.009273415,2.300252621,2.675528808
Austria,AUT,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,5.106318914,4.410135604,4.41461438,4.288925793,4.326402537,3.966934702,3.646038873,3.412209287,3.582349704,3.135164806,3.226962897,3.197493224,3.048461328,3.01155485,3.097119874,2.811281994,2.453334563,2.204440796,2.371545895,2.158596332,1.982470995,1.905483443,1.793343924,1.722217322,1.647300213,1.670703396,1.562774411,1.491931898,1.476474393,1.259399635,1.303189459,1.41639156,1.342223027,1.146817768,1.267327672,1.401914934,1.34855139,1.254721216,1.200740564,1.129790194,1.110316479,1.210536431,1.130602891,1.052415856,1.068081716,1.218629132,1.385801777
Azerbaijan,AZE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.50068213,30.48278443,26.05962532,27.10955414,32.3456632,25.3444559,24.96157506,20.12791692,18.14799744,18.3995126,16.08486467,14.83745955,13.95463918,12.42566291,10.98801904,9.086843681,7.091570558,6.702984785,5.595806384,6.121933065,5.521252796,5.075649937,5.139769508,5.36626448,5.319406718,6.177454947,5.604946281,5.607369011,5.212505619,5.695258144,6.738947424,5.725983657,4.612208308
"Bahamas, The",BHS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,2.043016021,1.904597833,1.811931244,1.827560863,,2.012508165,2.208528111,2.833734041,2.663010614,2.461287193,2.675084382,2.834149898,2.646910502,1.561818974,1.378559449,1.26759042,1.344646857,1.198629931,1.513315828,1.347224211,1.16175186,1.064435453,1.170424648,1.093391246,1.043131294,0.909640992,1.097490432,1.092304713,1.072711161,0.934992978,0.851094851,0.826771991,0.887178483,0.783708026,0.688026126,0.545474102,0.807374827,0.481137137,0.437715051
Bahrain,BHR,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,0.865717884,0.890322287,0.930275334,1.014476037,0.982171881,1.050411046,1.203738713,1.180683034,1.038171988,0.998314975,0.834914799,0.775809329,0.800220791,0.748755762,0.756639003,0.758927786,,,,,,,,,,,0.268763501,0.29227169,0.264810237,0.337284357,0.297677228,0.290850277,0.275737043,0.274789045,0.299909669,0.315466039,0.332012486,0.291006503,0.288059552,0.281212268,0.313791892,0.279204524,0.257668329
Bangladesh,BGD,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,57.47431238,57.98823595,57.01857402,57.14666817,53.35683665,52.81869477,53.94737058,55.85247837,53.55573997,55.41281892,54.56149999,51.03131121,59.609906,56.638853,56.63655312,61.95413913,51.91445693,48.89805693,54.2503083,52.45201206,32.82389185,31.95151692,31.44169633,31.04603046,34.69863208,33.00673157,32.36915289,32.66390093,31.3191778,30.56164284,30.4898331,31.67702324,30.51752524,27.32108582,26.72553755,27.3043698,23.26620805,23.24614375,22.58741576,22.65841112,22.71814808,21.84834058,20.58413442,19.8127183,19.26695957,18.57103955,18.03401651,17.80653678,17.59569554,17.10462905,17.00118126,16.80998676,16.17756317,15.493278,15.3516209,14.78299644,13.46479232,12.95727604,12.48007719,11.97532314,11.99968686,11.63285843,11.21760104
Barbados,BRB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,11.50668172,8.792197637,9.229922239,8.246291642,8.143588222,7.475442043,5.751004016,5.211448099,5.454545455,5.138427464,4.867724868,4.702858978,5.005834306,4.742183214,3.722428748,3.44452681,3.457185039,3.436382218,3.219277108,2.440489947,3.202511774,3.334034497,2.672636816,1.994352277,2.33451238,1.995424089,2.118186283,1.889586351,1.978501324,1.643199303,1.586595104,1.450162679,1.347022578,1.295864964,1.437558476,1.403132053,1.324244985,1.599132505,1.762415758,1.678503995,1.595947006,1.606291691,1.661168903,1.982759468,2.005235843,2.646820998,1.908407134,1.444983136
Belarus,BLR,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.94688222,22.22222222,22.82608696,17.15736041,13.58961389,15.76649671,15.0985983,13.41793201,12.06176361,12.70055756,12.09682717,10.35042974,10.12843222,8.635627708,8.850251441,8.518590809,8.578727592,8.303169959,8.666253694,8.131391577,8.891519589,8.001757555,8.131052249,6.809122268,7.303391703,6.282949616,6.895280624,7.566100541,6.590091563,6.794970757,7.077163524,6.706844792,8.041818717
Belgium,BEL,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.306623478,1.32831141,1.340821012,1.255675473,1.076235331,1.17600528,1.109350298,1.033134143,1.029444503,1.022910541,0.840639974,0.907269381,0.88752394,0.712338067,0.645274319,0.765104157,0.64803422,0.781226735,0.681174913,0.637835968,0.68641478,0.628433476,0.66509366,0.603042099,0.670014511,0.679470321,0.641438472,0.640384747
Belize,BLZ,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,28.98019076,28.06324111,22.87525437,22.39133379,19.03351181,18.59159983,17.72873329,17.36599226,17.84303972,19.04656775,18.11017992,17.29126667,13.41479848,12.27349617,11.87707761,11.22391465,11.43875632,12.01332195,11.8474425,11.3535684,10.67023595,11.09494492,10.67473305,9.54058788,9.206520327,10.50008811,10.38907815,9.780162341,9.556755357,8.727676259,8.365059704,8.578185913,8.795912871,8.925955319,10.47029352,10.14625768,10.24237868,9.606910562,7.700296002,8.55960867,7.136767711,6.533946841,8.34849168,7.903317617,7.780876996
Benin,BEN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,46.15772309,46.19378573,44.70927268,43.71836971,45.52815226,44.61942503,45.14781983,42.0810132,38.868069,38.49666283,36.32785238,34.35773601,34.23102234,33.62392031,31.53369577,30.53866655,33.19650626,31.85508538,34.54214391,34.99288604,35.43268847,32.66465235,32.50119968,33.1576443,33.31156053,31.54554889,33.67105902,33.27995076,34.38009319,37.85688479,34.65494536,35.0437735,33.94190414,34.1194608,32.29399457,33.09015959,35.70530039,35.78193016,36.57664979,24.53433491,23.54123399,25.04816274,25.38272928,24.45398374,26.52084928,26.6894285,26.63180343,26.97108697,26.82615619,26.97895538,25.8411355,25.79700083,25.76897583,25.27540464,25.61845297,26.39208509,27.7536355,28.48901653,28.06477391,26.87580163,27.10917504,28.52895061,26.89644607
Bermuda,BMU,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.799999258,0.799999454,0.69999885,0.699999068,0.668952155,0.69232761,0.795458124,0.821851058,0.844158465,0.801641532,,,,,0.286094289,0.312941026,0.281396535,0.328283344,0.211116703,0.227889497,0.307018453,0.274700811,0.234985525,0.220961505,0.255490408,0.291123152,0.219839601
Bhutan,BTN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,39.82935286,37.61807283,38.33846723,38.10902579,38.46886328,39.48620121,38.28657562,33.01187336,34.84718631,32.41395808,31.61073411,30.16669159,30.49299525,28.59046256,30.39006234,27.84782989,27.17742711,27.29147898,25.83867751,24.13997485,21.62060287,20.88358856,20.81998145,19.78684239,19.37851496,18.03393468,17.34129923,14.90624102,14.48769288,14.005455,12.6755593,12.03878321,11.77379419,12.04180071,12.24995034,12.17817487,12.18206261,12.92979111,13.55091969,12.93395272,15.70307452,15.79477904,14.67100877
Bolivia,BOL,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,19.50835954,19.84480639,19.25239234,20.12108262,21.24637129,20.84459038,20.6138987,20.17776126,18.49551874,18.05010531,16.94893923,17.2790342,16.08618306,19.45813259,21.54583121,19.015628,16.93318079,16.29614564,15.73538112,15.26314014,15.35359927,15.54209575,14.40420431,14.64796229,15.24428673,14.85929911,14.18467938,14.91825923,12.62543138,13.25799158,12.96581188,13.25565367,12.95511863,13.42723696,13.32238364,11.79272153,10.93754805,10.01115567,10.44240412,11.15240745,10.3899057,9.769585882,9.812161915,9.966979477,9.740217538,10.23949411,11.17187542,11.58933594,11.48192415,12.22175758,14.00093054,12.92292331,12.46872565
Bosnia and Herzegovina,BIH,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.85332285,20.69999851,20.70000031,17.51804573,15.96041002,13.26299203,9.001463763,9.120577403,8.873503628,8.105018425,8.583495058,8.297368254,8.054289273,7.70495341,7.207272012,7.076601635,6.796762159,6.757745396,6.137671554,6.841391127,5.951057699,6.037566951,6.16558905,5.431049985,5.718782491,5.450042181,5.914439906,5.019317881,4.826248394
Botswana,BWA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,43.2229603,41.92589506,40.67604614,39.7267916,38.57224696,33.84146341,39.29539295,41.2608949,43.68421053,38.70387039,32.99492386,32.9845815,33.00550747,33.07760401,31.78648714,27.5461641,24.66769706,22.6035503,18.43746804,14.47171506,12.7038991,12.3706177,10.27223578,7.971380799,6.89302008,5.921874632,5.286789713,6.244885589,5.631953348,4.696992862,4.526150858,4.376895524,4.632785011,4.521192563,3.756143634,4.637720944,3.690994049,3.542705617,3.166864256,2.990765494,2.794699789,2.59029062,2.425615993,2.722386955,2.25958535,1.828380524,1.738935094,1.926684358,2.140070276,2.375984196,2.091040919,2.118923007,2.314811083,1.993543223,1.819598353,1.947764868,1.975887574,1.841993949,2.117310832,2.083429494,2.208063228,1.788520019,1.57972699
Brazil,BRA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,15.73240027,15.07757455,16.09562215,14.9527276,16.025741,16.17305804,12.74068708,12.80607129,11.80744333,11.16165785,10.37360379,11.08959788,11.08868417,10.85527208,10.7525651,10.22841334,11.41797511,12.91816539,10.30339894,10.06231357,9.850640147,9.843520537,8.370880982,10.53331258,11.59575917,11.10460944,10.38130444,9.359910366,9.796555934,8.441587377,6.963440655,6.841389377,6.806084884,6.778109239,8.721989375,5.011666465,4.768411211,4.685047029,4.750044784,4.64598154,4.750459976,4.801043016,5.475274893,6.167184386,5.665311576,4.651168823,4.370043778,4.416915436,4.56785118,4.476773992,4.115756488,4.342034128,4.168328224,4.506886182,4.325610539,4.319149429,4.891353588,4.600591696,4.420399304,4.205014094,5.711485115,6.558762612,5.767474908
British Virgin Islands,VGB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,1.33781821,1.335547213,1.10918347,1.017318066,1.08715347,0.902068196,0.634854457,0.693804542,0.843789381,0.984748704,1.065873459,1.212543374,1.927720227,1.930734886,2.216148334,0.961563596,0.966141671,1.022053167,0.965209098,1.077333434,1.198708954,1.161527571,1.122112852,1.227343527,1.410283186,1.234980121,1.024413492,1.134567236,1.093569608,1.222196519,1.127453453,0.946593335,0.706141843,0.689655172,0.635849769,0.908956973,0.733012306,0.575033258,0.655398677,0.684659216,0.862737495,1.102486219,1.203633477,1.086449483,1.017639762,0.98605513,1.217502836,1.256290223,1.096160289
Bulgaria,BGR,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,14.41859563,16.62556618,17.17781684,14.47948321,15.81262294,11.86858228,12.91954985,11.79618574,11.45935204,10.94185835,17.74596502,15.39056743,11.61802789,9.93442623,11.49162861,9.218320939,9.592577335,20.47684372,13.41156426,12.95862434,10.97048236,10.60325324,9.710569628,9.09562775,8.452185377,7.283685729,6.096284921,4.651784892,5.869626922,4.23578566,4.032500762,4.661369068,4.430140024,4.515416945,4.55871705,4.061975774,4.05489853,4.043176898,3.386112447,3.242815126,3.490241814,4.368048975,3.861289875
Burkina Faso,BFA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,38.48453334,38.30700833,37.85878292,38.49363408,38.68111026,35.41478443,36.26719737,33.41198115,31.59393267,32.01766365,30.51186979,30.59941113,31.90210367,29.39852092,30.82462345,28.86615892,29.01546487,28.42248651,30.12059514,29.37995092,28.44634498,29.80398029,27.5193113,27.61483086,28.4988398,33.90416781,29.36042761,27.81632517,28.54669613,27.62770832,27.95002227,29.79326533,28.80981128,30.23105157,32.94777027,33.21721709,36.37917327,33.7387787,36.56355608,27.25228666,24.91403646,26.92043043,26.37244848,25.96097682,23.38143845,26.77091903,25.22897616,21.83948741,27.31428025,23.20484713,24.14338662,23.04365045,23.75600502,23.64109279,23.69377277,22.64649849,21.71471783,20.5863197,20.99747328,18.22052455,17.91516357,17.29001582,18.49671195
Burundi,BDI,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,65.33139351,64.76177131,60.77312761,63.31363862,61.03422277,61.30360423,59.47548325,55.58015512,53.96401695,53.8322492,57.57193562,58.14259605,52.61267683,53.48218721,54.65985733,55.95197095,52.51958805,50.55635032,48.21563002,47.12209253,51.05685018,48.59791032,48.00452171,47.16981169,40.73232545,42.02269313,53.38092151,42.42186415,44.53870405,47.63530413,44.10704011,43.84314206,43.33361124,42.8412837,41.90260497,40.84812339,40.63768227,34.93417192,38.0048233,36.72136414,38.43054529,36.704576,35.42003257,38.36740004,34.95819234,30.6846973,31.54433613,28.54664701,29.01190049,28.84439,28.62495,28.66022,27.56671464
Cabo Verde,CPV,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,18.5600465,15.77264812,12.58012028,12.05682004,11.85648906,12.98960838,13.63127287,17.64634416,17.69673267,16.21087187,14.39070453,13.39300681,11.79420025,10.13642607,12.85895303,13.68056848,12.44848107,11.68065177,10.94724964,13.64336994,12.8717827,11.41576602,10.35147125,10.14369825,9.863467719,9.001187323,8.318712135,6.094687071,5.315782419,6.026322466,5.82909277,5.39925327,5.790887585,5.823591256,5.735069239,6.408286376,6.313522774,5.375335026,4.522768674,4.437360867,6.191327455,5.971474059,4.73645703
Cambodia,KHM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.29438218,45.55770954,47.72456021,44.46307956,44.44721268,44.47995896,40.90385299,35.91870322,34.32030026,31.12904348,31.97082205,29.38975764,30.71005759,30.05876192,29.69654194,32.75105777,33.49071752,33.87667876,34.55731403,33.51960361,31.59506243,28.87130353,26.58036001,24.74266442,23.36144048,22.0129559,20.71187069,22.69639521,22.84750006,22.2302032
Cameroon,CMR,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,32.73182909,31.85079416,31.13330046,31.5057857,30.72351081,31.36392018,31.00412862,31.96496947,30.7928263,29.53976576,29.11971329,27.61010709,33.64508248,31.35335451,30.82360287,28.67678483,27.1765767,27.0057545,23.19327904,21.97183072,20.59052903,21.62962795,23.98643534,23.9424312,25.50675999,23.99487034,24.25902647,26.57966518,18.23672719,19.6097542,19.14485372,18.32231925,18.96788778,19.0010005,18.97879034,18.11774246,18.62095827,18.2716804,17.47378423,17.56095272,16.73417685,15.62508179,15.85753191,16.00119189,16.38719035,17.26971088,16.69739074,16.65724017,16.72366119,16.82583818,17.2094159,17.19266239,16.69294182,16.4988007,16.80228356,17.49686505,16.96610476,16.97989646
Canada,CAN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.139497957,2.16737424,2.196212585,2.091653007,2.117890672,1.987623221,2.053091392,2.167813111,1.880311458,1.701018459,1.587160732,1.768273548,1.549893275,1.493236081,1.765664466,1.811345744,1.894231512,1.586548077,1.869835946,1.862225893,1.889994632,1.699891576,1.697079353,1.839789311,,
Cayman Islands,CYM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233902315,0.249992681,0.262355093,0.314234469,0.312849105,0.329023791,0.33063349,0.340975325,0.357975839,0.378695339,0.399457733,0.418316555,0.408587438,0.414317121,0.435397889,0.450199847,0.465370589
Central African Republic,CAF,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.33386816,37.3635796,37.56902278,36.81416647,32.25890625,33.98562172,31.52738103,31.91899149,32.79017123,31.24133151,28.34183246,29.49593723,35.75533,36.21711
Chad,TCD,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,39.72092286,38.73724871,38.4738709,38.02654785,36.59090896,35.84335708,36.55656189,39.90413778,39.5259542,38.38861392,37.10214168,37.21627079,37.81450414,36.47669117,36.70010049,36.95936638,35.77671327,35.49883877,36.0920832,41.26617644,45.73239567,40.27126154,39.97240444,38.88458497,32.57152147,37.0453795,31.6745571,31.77957016,35.19041743,30.16609544,27.88864724,35.50783192,34.32437022,31.3719737,37.21829064,35.05874454,37.54797454,38.34467648,39.00491517,38.06879958,40.70513785,40.295439,37.90293247,25.63394053,29.77426104,23.78094887,26.69613372,26.53735015,24.85728925,26.9987075,27.71343086,22.80833461,24.5807749,22.91557058,25.46778054,30.46300587,26.97085561,32.81222271,27.99699364,24.13539267,27.06408229,25.30360768,23.00266162
Channel Islands,CHI,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.950683825,0.991882538,0.945742937,0.923574312,0.800134472,0.882717225,0.790931074
Chile,CHL,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,10.50410317,10.1022751,9.201911166,7.937608319,8.560548363,8.847345253,9.265601218,8.606845622,7.676366097,6.85995831,6.781348751,8.102127123,8.303090524,6.664265884,5.688918351,6.582943035,8.438811381,9.830571211,7.600799633,7.268811729,7.224721702,6.464607459,6.28802554,5.887562367,7.146472304,7.468744962,8.569613615,8.793614703,8.481755034,8.304970172,8.236522314,9.256215148,9.205793076,8.033661574,7.502211362,7.003034157,5.019558781,5.006550218,5.394231867,5.29404332,5.08296243,4.062420264,4.065033248,4.094775331,3.758265825,3.922211938,3.712045144,3.550571089,3.424432261,3.697126956,3.478284632,3.626183236,3.27493354,3.473375328,3.94662063,3.709404275,4.199089371,4.280971614,3.927435925,3.987812171,4.045426844,3.503759086,3.462156058
China,CHN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,23.1752942,35.79485515,38.98640509,39.85420171,38.02979795,37.54901961,37.17901202,39.80604169,41.6432544,37.5191112,34.79843839,33.63181245,32.41654913,32.92576736,33.42645967,31.95262379,32.35963327,28.99076923,27.68541782,30.7032787,29.63393836,31.31558121,32.7857031,32.56812238,31.53969556,27.93435752,26.63849653,26.32089964,25.23768653,24.61155196,26.58430812,24.03406738,21.32886137,19.3074684,19.47428273,19.59651961,19.32548555,17.89527674,17.15903476,16.06478847,14.67624166,13.98346135,13.30148771,12.34899897,12.91664817,11.6414956,10.62576053,10.24616576,10.16904785,9.636185514,9.325176941,9.177653795,9.11371387,8.942893962,8.643491396,8.387014882,8.057287535,7.463565017,7.043020253,7.143690278,7.698642534,7.241017469,7.321760005
